,iteration_num,N_screened,percentage_screened,mean_score,median_score,min_score,shared_with_top_N,N_found_by_now,N_found_if_random,percentage_found
0,0,0,0.0,-30.720533999999997,-30.75,-85.75,8,8,10,0.016629596524414328
1,1,20000,0.020786951149396795,-33.3765735,-33.25,-78.95,5,13,20,0.02702309435217328
2,2,40000,0.04157390229879359,-62.059242000000005,-63.79,-89.1,747,760,30,1.5798116698193612
3,3,60000,0.06236085344819038,-62.49126700000001,-64.01,-87.44,808,1568,40,3.259400918785208
4,4,80000,0.08314780459758718,-62.755454,-64.27,-90.62,800,2368,50,4.9223605712266405
5,5,100000,0.10393475574698398,-62.658632000000004,-64.13,-88.29,745,3113,60,6.470991747562725
6,6,120000,0.12472170689638076,-62.903372499999996,-64.4,-93.3,878,3991,70,8.296089966117197
7,7,140000,0.14550865804577756,-62.426210499999996,-63.95,-89.88,761,4752,80,9.877980335502109
8,8,160000,0.16629560919517436,-62.583179,-64.27,-89.13,752,5504,90,11.441162408797057
9,9,180000,0.18708256034457116,-61.58832050000001,-63.4,-88.55,632,6136,100,12.754900534225788
10,10,200000,0.20786951149396796,-61.575954,-63.27,-88.36,637,6773,110,14.07903215748228
11,11,220000,0.22865646264336476,-60.905449,-62.85,-86.03,551,7324,120,15.224395618101315
12,12,240000,0.24944341379276153,-46.870163500000004,-44.51,-85.74,104,7428,130,15.440580372918703
13,13,260000,0.27023036494215835,-60.9542,-62.82,-86.58,525,7953,140,16.531897644833393
14,14,280000,0.2910173160915551,-59.610488000000004,-62.08,-85.52,517,8470,150,17.60658532022367
15,15,300000,0.31180426724095195,-60.831927,-62.39,-85.08,407,8877,160,18.452616043403246
16,16,320000,0.3325912183903487,-60.623230500000005,-62.79,-83.2,465,9342,170,19.41921134138483
17,17,340000,0.3533781695397455,-58.993089000000005,-61.72,-87.8,407,9749,180,20.265242064564408
18,18,360000,0.3741651206891423,-58.150043499999995,-61.22,-84.51,383,10132,190,21.061383998170744
19,19,380000,0.3949520718385391,-59.540791500000005,-61.74,-87.74,435,10567,200,21.96561830918577
20,20,400000,0.4157390229879359,-59.447394,-61.66,-88.3,466,11033,210,22.93429230673291
21,21,420000,0.43652597413733274,-59.3107515,-61.55,-87.48,396,11429,220,23.757457334691416
22,22,440000,0.4573129252867295,-59.374581000000006,-61.51,-87.81,525,11954,230,24.84877460660611
23,23,460000,0.4780998764361262,-52.86453500000001,-54.92,-88.28,237,12191,240,25.341426403641883
24,24,480000,0.49888682758552305,-58.8924785,-61.02,-85.53,469,12660,250,26.316336499885672
25,25,500000,0.5196737787349198,-59.358295500000004,-61.22,-86.49,404,13064,260,27.156131124368592
26,26,520000,0.5404607298843167,-59.230601,-61.18,-90.02,416,13480,270,28.020870143638138
27,27,540000,0.5612476810337135,-58.9392125,-60.98,-86.29,317,13797,280,28.67981790591806
28,28,560000,0.5820346321831102,-58.122535,-60.26,-88.98,358,14155,290,29.423992350385596
29,29,580000,0.602821583332507,-57.869522499999995,-60.32,-98.98,360,14515,300,30.172324193984245
30,30,600000,0.6236085344819039,-57.5705385,-59.99,-85.87,394,14909,310,30.991331822811645
31,31,620000,0.6443954856313007,-58.0147605,-60.21,-89.81,371,15280,320,31.762529361631366
32,32,640000,0.6651824367806974,-56.4905845,-59.33,-84.78,354,15634,330,32.4983890078367
33,33,660000,0.6859693879300942,-56.5738955,-59.0,-84.24,286,15920,340,33.09289708358451
34,34,680000,0.706756339079491,-55.8031145,-58.62,-87.37,376,16296,350,33.87448812023198
35,35,700000,0.7275432902288879,-54.594913,-57.67,-88.89,300,16596,360,34.498097989897516
36,36,720000,0.7483302413782846,-56.92491699999999,-59.14,-87.89,289,16885,370,35.09884216434199
37,37,740000,0.7691171925276814,-56.0822595,-58.75,-86.46,279,17164,380,35.67879934313093
38,38,760000,0.7899041436770782,-55.732680499999994,-58.23,-88.19,265,17429,390,36.22965472800217
39,39,780000,0.810691094826475,-56.693014,-59.05,-87.89,253,17682,400,36.755565718086764
40,40,800000,0.8314780459758718,-55.664241000000004,-58.03,-84.35,91,17773,410,36.94472737855198
41,41,820000,0.8522649971252686,-55.24311850000001,-58.32,-85.38,242,18015,420,37.447772673415514
42,42,840000,0.8730519482746655,-55.8243905,-58.17,-85.81,257,18272,430,37.98199846176232
43,43,860000,0.8938388994240622,-54.992368500000005,-57.45,-83.28,207,18479,440,38.41228927183154
44,44,880000,0.914625850573459,-55.2068595,-57.89,-85.85,276,18755,450,38.98601035192384
45,45,900000,0.9354128017228557,-57.596591000000004,-60.36,-92.64,548,19303,460,40.125137713846215
46,46,920000,0.9561997528722525,-54.654716500000006,-57.23,-88.57,335,19638,470,40.82150206830607
47,47,940000,0.9769867040216493,-54.076995499999995,-56.79,-88.57,320,19958,480,41.48668592928264
48,48,960000,0.9977736551710461,-54.5507385,-57.13,-88.32,331,20289,490,42.174735485480284
49,49,980000,1.0185606063204429,-54.580358999999994,-56.88,-90.87,386,20675,500,42.97711351778328
50,50,1000000,1.0393475574698396,-54.09504450000001,-56.48,-86.21,358,21033,510,43.72128796225081
51,51,1020000,1.0601345086192366,-52.501098999999996,-55.47,-86.55,184,21217,520,44.10376868231234
52,52,1040000,1.0809214597686334,-52.74505550000001,-55.16,-89.41,365,21582,530,44.86249402373875
53,53,1060000,1.1017084109180302,-53.1688145,-55.57,-93.38,332,21914,540,45.55262227950194
54,54,1080000,1.122495362067427,-53.3854875,-55.85,-88.87,325,22239,550,46.22819963830628
